time_s,lat,lon,ele_m,speed_kmh,dist_m,brake,event,speed_m_s
0,-7.286449,112.631457,23.5,51.588743273638315,16.776462307589558,False,,14.33020646489953
1,-7.2864664999999995,112.631598,23.25,64.58214517088727,32.44960145990681,False,,17.93948476969091
2,-7.286484,112.631739,23.0,72.09552536294736,48.122740612224064,False,,20.026534823040933
3,-7.286491799999999,112.63182479999999,23.05,0.0,57.62588085244167,True,,0.0
4,-7.2864996,112.6319106,23.1,0.0,67.12902109265926,False,,0.0
5,-7.2865074,112.63199639999999,23.15,0.0,76.63216133287686,False,,0.0
6,-7.2865152,112.6320822,23.2,0.0,86.13530157309447,False,,0.0
7,-7.286523,112.632168,23.25,0.0,95.63844181331206,False,,0.0
8,-7.286529,112.63225416666666,23.333333333333332,13.098902270257575,105.16575064091029,False,,3.6385839639604374
9,-7.286535,112.63234033333333,23.416666666666668,22.19385081640601,114.69305946850851,False,,6.16495856011278
10,-7.286541,112.6324265,23.5,34.42774029665721,124.22036829610674,False,,9.563261193515892
11,-7.286547,112.63251266666666,23.583333333333332,50.16028599317233,133.74767712370496,False,,13.933412775881202
12,-7.286553,112.63259883333333,23.666666666666668,61.34657380115635,143.2749859513032,False,,17.040714944765654
13,-7.286559,112.632685,23.75,70.98723722377537,152.80229477890143,False,,19.718677006604267
14,-7.286568,112.63281,23.75,45.682846476864384,166.6256850554894,True,,12.689679576906773
15,-7.286582,112.63298266666668,23.75,60.136865196187976,185.7338074999721,False,,16.70468477671888
16,-7.286595999999999,112.63315533333333,23.75,67.90865499688086,204.84192994445476,False,,18.863515276911347
17,-7.28661,112.633328,23.75,71.1590745059308,223.95005238893748,False,,19.766409584980778
18,-7.286623,112.633467,23.5,75.46329345748934,239.3493217339014,False,,20.962025960413705
19,-7.2866325,112.633567,23.25,0.0,250.429483581047,True,,0.0
20,-7.286642,112.633667,23.0,0.0,261.50964542819264,False,,0.0
21,-7.2866515,112.63376699999999,22.75,0.0,272.5898072753382,False,,0.0
22,-7.286661,112.633867,22.5,0.0,283.66996912248385,False,,0.0
23,-7.2866684,112.6339452,22.35,13.497091293590087,292.33434813375015,False,,3.749192025997246
24,-7.2866758,112.6340234,22.2,27.9418894968367,300.99872714501646,False,,7.761635971343528
25,-7.2866832,112.6341016,22.05,41.5912880100075,309.66310615628277,False,,11.553135558335418
26,-7.2866906,112.6341798,21.9,54.69299385340703,318.32748516754907,False,,15.192498292613063
27,-7.286698,112.634258,21.75,68.58074561404213,326.9918641788154,False,,19.050207115011702
28,-7.28670925,112.63445525,21.5625,70.7284297280997,348.7838620488486,False,,19.64678603558325
29,-7.2867205,112.6346525,21.375,67.80701787978565,370.57585991888186,False,,18.8352827443849
30,-7.28673175,112.63484975,21.1875,67.8587365487164,392.3678577889151,False,,18.84964904131011
31,-7.286743,112.635047,21.0,71.10064373479594,414.15985565894835,False,,19.750178815221094
32,-7.286692,112.635175,21.0,73.5120565684772,429.37424349464555,False,,20.42001571346589
33,-7.286677,112.635269,21.0,51.63799324853116,439.8754586169346,True,,14.343887013480877
34,-7.286681,112.635382,21.0,67.09105139462984,452.34694341803464,False,,18.636403165174958
35,-7.286691,112.635465,21.0,71.41441965908264,461.5688699682661,False,,19.837338794189623
36,-7.2868010000000005,112.6354495,21.375,27.16418231720557,473.91921043174824,True,,7.545606199223769
37,-7.286911,112.635434,21.75,27.16418231720557,486.26955089523034,False,,7.545606199223769
38,-7.2870455,112.635411375,22.1875,37.646425280513355,501.4320318009154,False,,10.457340355698154
39,-7.28718,112.63538875,22.625,41.596362322208776,516.5945127066005,False,,11.554545089502438
40,-7.2873145,112.635366125,23.0625,42.43323775191233,531.7569936122857,False,,11.787010486642314
41,-7.2874490000000005,112.6353435,23.5,50.60106695387764,546.9194745179707,False,,14.055851931632677
42,-7.2875835,112.635320875,23.9375,56.117222275809375,562.0819554236558,False,,15.588117298835938
43,-7.287718,112.63529825,24.375,62.45638218282756,577.2444363293409,False,,17.348995050785433
44,-7.2878525000000005,112.635275625,24.8125,68.0885694733058,592.4069172350261,False,,18.913491520362722
45,-7.287987,112.635253,25.25,69.76379183361979,607.5693981407111,False,,19.378831064894385
46,-7.2881155,112.635237,26.0,22.10767733098433,621.9665135019181,True,,6.1410214808289805
47,-7.288244,112.635221,26.75,22.10767733098433,636.3636288631253,False,,6.1410214808289805
48,-7.288364785714285,112.63521207142857,26.767857142857142,28.44495511731857,649.8304431166205,False,,7.901376421477381
49,-7.288485571428571,112.63520314285715,26.785714285714285,31.077911617697005,663.2972573701155,False,,8.632753227138057
50,-7.288606357142857,112.63519421428572,26.803571428571427,35.34556626937912,676.7640716236106,False,,9.818212852605312
51,-7.288727142857143,112.63518528571429,26.821428571428573,39.17008592616728,690.2308858771057,False,,10.880579423935355
52,-7.288847928571428,112.63517635714285,26.839285714285715,38.03156577132393,703.6977001306009,False,,10.56432382536776
53,-7.288968714285714,112.63516742857144,26.857142857142858,42.16174628168292,717.1645143840959,False,,11.711596189356367
54,-7.289089499999999,112.6351585,26.875,49.8684365997151,730.631328637591,False,,13.852343499920861
55,-7.289210285714286,112.63514957142857,26.892857142857142,52.271371214202865,744.0981428910861,False,,14.519825337278574
56,-7.289331071428571,112.63514064285715,26.910714285714285,56.84871584187045,757.5649571445813,False,,15.791309956075125
57,-7.289451857142857,112.63513171428572,26.928571428571427,59.73052041275437,771.0317713980763,False,,16.591811225765102
58,-7.289572642857142,112.63512278571429,26.946428571428573,63.62132189940973,784.4985856515714,False,,17.672589416502703
59,-7.289693428571429,112.63511385714285,26.964285714285715,66.32401003015794,797.9653999050665,False,,18.423336119488315
60,-7.289814214285714,112.63510492857144,26.982142857142858,72.04959838408705,811.4322141585617,False,,20.01377732891307
61,-7.289935,112.635096,27.0,70.00374434287751,824.8990284120567,False,,19.4454845396882
62,-7.290031,112.6350932,26.65,0.0,835.5782077835847,True,,0.0
63,-7.290127,112.6350904,26.3,0.0,846.2573871551128,False,,0.0
64,-7.290223,112.6350876,25.95,0.0,856.9365665266408,False,,0.0
65,-7.290319,112.6350848,25.6,0.0,867.6157458981689,False,,0.0
66,-7.290415,112.635082,25.25,0.0,878.2949252696969,False,,0.0
67,-7.29048425,112.6350815,25.0,15.784586480828084,885.9953714178971,False,,4.384607355785579
68,-7.2905535,112.635081,24.75,26.720952320272062,893.6958175660973,False,,7.4224867556311285
69,-7.29062275,112.6350805,24.5,43.8359390768208,901.3962637142974,False,,12.176649743561333
70,-7.290692,112.63508,24.25,56.54689659229939,909.0967098624976,False,,15.707471275638719
71,-7.290903,112.635079,23.5,74.63338312446601,932.5590986345969,False,,20.73149531235167
72,-7.2910796,112.6350764,23.15,71.9217277894045,952.1982164816601,False,,19.97825771927903
73,-7.2912562,112.6350738,22.8,71.88260868473962,971.8373343287233,False,,19.96739130131656
74,-7.2914328,112.6350712,22.45,69.5196510577054,991.4764521757863,False,,19.311014182695946
75,-7.2916094000000005,112.6350686,22.1,67.3398854183556,1011.1155700228495,False,,18.705523727321
76,-7.291786,112.635066,21.75,69.81198135467395,1030.7546878699127,False,,19.392217042964983
77,-7.291886666666667,112.635064,21.5,0.0,1041.9504838555297,True,,0.0
78,-7.291987333333333,112.63506199999999,21.25,0.0,1053.1462798411465,False,,0.0
79,-7.292088,112.63506,21.0,0.0,1064.3420758267634,False,,0.0
80,-7.2921802,112.6350582,20.8,14.334725587198767,1074.5961701554409,False,,3.981868218666324
81,-7.2922724,112.6350564,20.6,29.86263632060832,1084.850264484118,False,,8.295176755724533
82,-7.2923646,112.6350546,20.4,40.96846196440277,1095.1043588127955,False,,11.380128323445215
83,-7.2924568,112.6350528,20.2,58.63265191928925,1105.3584531414729,False,,16.286847755358124
84,-7.292549,112.635051,20.0,73.50323162295636,1115.6125474701503,False,,20.4175643397101
85,-7.292706750000001,112.63505275,19.625,69.98135528151812,1133.154609072064,False,,19.439265355977255
